score 	 sentence_1 	 sentence_2
3.9738 	 A person who is demoralized may give up easily.	A defeatist expects to fail, and therefor, either does not try at all or tries in a half-hearted manner. 
3.4675 	 The term sorted seems to cover both alphabetic and numeric.	"Collated" is a more general term that encompasses both alphabetical and numeric sorting. 
3.0174 	 A Pyrrhic victory	Cutting off your nose to spite your face 
1.8270 	 How about trashy?	Garbage is suitable, I think. 
3.8025 	 I would say weakened or lost.	Without more context, it's difficult to know, but I'd try "Faded" (means the same as "reduced") or "changed". 
1 	 the path is completed by the voltage meter	terminal 2 is not separated from the negative battery terminal 
2.33333333333333 	 it is connected to the batteries positive terminal	terminal 1 is connected to the negative battery terminal 
2.33333333333333 	 Because terminal 1 was hooked u to the positive terminal which is automatically 1.5 V	Terminal 1 and the positive terminal are not connected 
2.33333333333333 	 because of the gap	Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap 
2.66666666666667 	 that the battery has created a short circut and is dangerous	there is a short circuit 
4 	 the battery is not in the closed path	The battery in 4 is not in a closed path 
1 	 Terminal 2 had a 0.00 V.	Terminal 3 and the positive terminal are not connected 
3 	 they are contained in the same closed path	B and C are in the same path 
1.33333333333333 	 there was no gap between the positive battery terminal and terminal 1 and terminal 2.	Terminals 1 and 2 are in the same electrical state 
2.66666666666667 	 a closed path is required	the circuit has a closed path 
1 	 The electrical state is broken.	A non-zero voltage means that the terminals are not connected. 
1.66666666666667 	 The positive battery terminal is separated by a gap from terminal 2.	There is no gap between terminals 1 and 2 
2.66666666666667 	 There is no gap, same electrical state.	Terminal 4 and the positive terminal are not separated by the gap 
1 	 because only one of the bulb terminals is bad.	Terminals 4, 5 and 6 are connected to the positive battery terminal 
4.66666666666667 	 bulb a and bulb c still had a complete path to the battery	Bulbs A and C are still contained in closed paths with the battery 
2.66666666666667 	 Terminal 1 is connected tot he positive terminal.	terminal 1 is connected to the negative battery terminal 
4 	 The electrical state for the bulb terminal and the battery terminal will have a charge of 0 if connected so if the charge is anything that isn"t 0 V, there is a gap at that bulb	A non-zero voltage means that there is a gap 
3.66666666666667 	 The have the same electrical states	The terminals are in the same state. 
4.66666666666667 	 Terminal 1 and terminal 2 are connected to each other.	Terminals 1 and 2 are connected 
3.66666666666667 	 it was still connected to the battery	Bulb A is still contained in a closed path with the battery. 
2.66666666666667 	 the electrical state will be different in the gap	Measuring voltage indicates the place where the electrical state changes due to a gap. 
4.33333333333333 	 Bulb C had an open path with the battery	Bulb C was no longer in a closed path with the battery 
3 	 Because when the voltage goes from 1.5 to 0.0 you can locate the gap.	A non-zero voltage means that there is a gap 
4 	 Where there is a difference in electrical state, that is where the gap in the connection is.	Measuring voltage indicates the place where the electrical state changes due to a gap. 
2.66666666666667 	 the bulb terminal has no gap and the bulb will light	There is a gap. 
4 	 i had a dream i was surronded by bamboo, on my belly and scared.	a little over a year later i was surronded by bamboo, on my belly and scared. 
0 	 there is hope in iraq.	there was no threat. 
3 	 a very clear miscarriage of justice.	i agree on the miscarriage of justice. 
0 	 ain't that wonderful of the man?	isn't that what you want? 
3 	 driving on an icy road and wrecking isn't a federal problem until it affects thousands of people.	every winter driving on icy roads affects thousands of people. 
5 	 as i asked, where's the 6 trillion dollars in that graph?	can you explain where the 6 trillion dollars is in that graph? 
5 	 this country is far and away better than any other on earth..	no country is perfect, but this country is far and away better than any other on earth. 
3 	 you know, you're right.	well, you're half right. 
1 	 he is cutting spending.	i hate bloated spending. 
2 	 god you guys are dumb.	boy you dummies are dumb.. 
3.9738 	 Fourth arrest in body-in-bin probe	Three held after body found in bin 
3.4675 	 Indian air force to buy 126 Rafale fighter jets	India awards Dassault $12 billion contract to replenish ageing air force 
3.0174 	 BBC News: Deaths in Ukraine and Poland in freezing Europe weather	Ukraine: Europe hit by deadly cold snap 
1.8270 	 Gingrich Takes Georgia, Leaning on a Southern-Based Strategy	Super Tuesday: Newt Gingrich says he's a survivor 
3.8025 	 Iranian Hopes Dashed at Non-Aligned Summit	UN chief asks Iran to prove its nuclear program peaceful 
3.5349 	 A man with a bottle is petting a brown horse.	Man petting horse over fence. 
3.6924 	 A white cat rests it head on a stone.	A striped cat looking lazily through vertical blinds. 
0.5730 	 An English-themed furniture set.	A large steam locomotive pulling a passenger train through the countryside. 
3.2319 	 An airplane sitting on the tarmac at an airport with another plane in the background.	 White and green commercial airliner taking off of runway. 
1.2929 	 The udders of a dairy cow that is standing in a pasture near a large building.	A cows ass and some buildings  
3 	 How about some testimonies from real health experts?	Also, who's to say there aren't testimonies from "real" health experts on there? 
0.8 	 "Then the captain was gone.	Then the captain came back. 
3.8 	 The problem is simpler than that.	The problem is simple. 
1 	 NEGATIVE RECONNAISSANCE REQUIREMENTS.	PACIFIC REQUIREMENTS . 
0.4 	 So, I am dropping, for now, asking you the question: " Where ' s the Marx " ?	I am moving on to ask you the question: " Where ' s the beef " ? 
4.6 	 go figure You're asking me to prove a negative?	You're asking me to prove a negative? 
5 	 I am OK with MEDICAL use!	I AM OK WITH MEDICAL USE!! 
2 	 The prices for everything you need have gone up due to inflation.	The prices of everything you own IE assets have gone down. 
5 	 War in the middle east.	A WAR in the middle east. 
0.6 	 Originally Posted by Vienna How was it authoritarian?	Originally Posted by zaf I give up. 
1 	 Imagine a place that's % white and % black.	Imagine a place with % men and % women. 
5 	 There's no chance of a fair trial.	there is no chance at a fair trial. 
3.6 	 Nirvana is very different than oblivion.	Nirvana is NOT oblivion. 
4 	 We in Britain think differently to Americans.	Originally Posted by zaf We in Britain think differently to Americans. 
3.1 	 If you answer yes to  and no to  you are probably straight.	If you answer no to  but yes to  then you are probably straight. 
2.2 	 The whole earth combined produces enough food for  billion people.	Who does it now only produce enough for  billion? 
3.2 	 BTW he had appropriate deferments for the time.	Appropriate deferments for the time, eh? 
4.4 	 Hey, Blue-Eyes, How's things in London?	**smooches Ran** Hey, Blue-Eyes, How's things in London? 
2.2 	 but in the news broadcasts i have seen they did call him white.	but it seems it would have less "impact" if they didn't call him white. 
2.4 	 According to the girlfriend and Zimmerman, he did.	According to Zimmerman he did. 
2.8 	 My parents have told me it is bad for you.	My teachers have told me it is bad for you. 
4.6 	 .Nazi is a slang term for the NSWP.	Originally Posted by Odins eye .Nazi is a slang term for the NSWP. 
1 	 I oppose the death penalty.	This is why I support the death penalty. 
2.2 	 Well, whatever, you are now.	Well, whatever, you're aware of it now. 
2.2 	 They produce nothing I can eat, wear, live in.	Think about all the things you can't "eat, wear, or live in". 
3.8 	 DICKSHOT Matt Holliday owns.	Matt Holliday owns, y'all. 
2.8 	 People exploited the laws.	People bent the laws. 
2.2 	 Funny, I thought the same thing about some math.	And here I thought I knew me some math. 
2.6 	 I have  years of "Neener Neener" rights I use lettuce too.	I have  years of "Neener Neener" rights Hi Wiggies! 
3 	 I don't prefix or suffix everything with "you hate Jews."	You should stop prefixing or suffixing everything with you hate Jews. 
4.8 	 I wood have asked her if she is up for a treesome.	I wood have at least asked if a threesome was out of the question. 
1.4 	 It still makes no sense.	It's you who makes no sense. 
1.2 	 More expensive homes.	More expensive cars. 
0.8 	 Martin said, "Why are you following me?"	Zimmerman replied, "What are you doing here?" 
2 	 ALTHOUGH SATELLITE INTENSITY ESTIMATES FROM TAFB AND SAB ARE ONLY T./	SUBJECTIVE DVORAK INTENSITY ESTIMATES FROM TAFB AND SAB INCREASED TO  KT. 
1.2 	 "Fairies don't exist" - fine.	"Satyrs don't exist" - fine. 
2.8 	 You wanna know what I find curious?	That's what I find curious. 
2.6 	 When did I compare homo sexuaity with a developmental disorder?	I compared homo phobia with a developmental disorder. 
2.6 	 If you asked , conservatives, the numbers will be skewed to the right.	If you asked , progressives, the numbers would be skewed to the left. 
0.8 	 You didn't mention PFA before that one post.	I didn't mention restraining order either. 
2.4 	 Ramblin' Rose by Nat King Cole We are all vessels filled with many wonders.	Eye of the Tiger We are all vessels filled with many wonders. 
3 	 from the year prior.	 warmed.C from the year prior. 
1 	 Still love this show.	Holy poo poo, this show. 
3.2 	 their vast properties are protected by the govt.	their great wealth is protected by the govt. 
4.6 	 Fundimental difference, please?	Fundamental difference? 
1.4 	 How exactly is Germany being 'punished' for the stupidity of WW?	How exactly are they being punished? 
3 	 Z stalked him down, then shot him.	You claimed Zimmerman " Stalked him down, then shot him ". 
5 	 I'm not outraged, I'm disappointed.	God bless I'm not outraged, I'm disappointed. 
0.8 	 We never got out of it in the first place!	Where does the money come from in the first place? 
2.11111111111111 	 Freedom of speech has consequences!	If freedom of speech has consequences then it is not free. 
2.8 	 My parents have told me it is bad for you.	My teachers have told me it is bad for you. 
2 	 if you could kill one person to save four, would you?	As to would I kill  person to save , I have no idea. 
1.1 	 It's not imposing morals.	It's imposing a law. 
5 	 It depends how you define extreme.	Depends on how you define "extreme". 
1.2 	 At least Mexico had a presence in California.	Mexico has ZERO claim to California. 
3 	 So YES, we DO read the bible to learn about Christianity.	personally i would read the bible to learn about christianity. 
4.5 	 Ah ha, ha, ha, ha, ha!	Ha, ha, ha, ha, ha, ha! 
3.4 	 And that's why you're yelling at me and refusing to answer my questions?	Still refusing to answer my questions? 
3.8 	 You have too much regulation, not too little.	You have to much intervention in free markets, not too little. 
4 	 The Human Element You could sign Lance Berkman at the end of the year I guess?	You could sign Lance Berkman at the end of the year I guess? 
2.6 	 Why was the Book of Thomas left out of the canon?	Why would the addition of more of Jesus words be left out of the canon? 
1.8 	 You mean, you believe the word of the Mainstream Media?	You mean, you believe the word of the SpringHallConvert? 
2.4 	 We are meant to explore.	We are meant to move. 
3.4 	 Israel doesn't give a ****, accept it.	That Israel doesn't giva a **** what anybody else thinks. 
3.4 	 We are all vessels filled with many wonders.	I Want to Rock and Roll by Kiss We are all vessels filled with many wonders. 
3.6 	 Slutstamp! A dear friend from Ohio sent me this.	A dear friend from Ohio sent me this. 
1.6 	 And yet, the Titanic story is the one that holds up to scrutiny of the evidence.	The new study shows that the Titanic story does not stand up to scrutiny imo. 
3.2 	 Can he really make mone from google ad sense.	Who makes money off google ad sense? 
4.6 	 They know that the video doesn't show a gas chamber.	The bottom line is that the video clip doesn't show a gas chamber. 
4.4 	 Warm , maybe record.	Warmer , almost certainly a record. 
2.2 	 "Bright but scatterbrained" becomes "treat with drugs".	"Opinionated and stubborn" becomes treat with drugs". 
1.2 	 What is your definition of "life"?	What's your definition of nature? 
2.2 	 Could be a lot of things.	Could be a simple mistake. 
3.8 	 No extortion, no bribery, no money involved He's asking for money for his vote.	No extortion, no bribery, no money involved Only class E felonies. 
4 	 Dr. Neander's revised version.	Neander's revised version"? 
2.2 	 Should I just tell her how I feel?	Should I just wait it out and see how it goes? 
0.8 	 I. ATLANTIC REQUIREMENTS .	PACIFIC REQUIREMENTS . 
2.6 	 you have no remains of a missile at the pentagon.	you have no witnesses for a missile at the pentagon. 
2.2 	 "Jane" wants me to ask the helpful party guest to pay for it.	I can't believe she is asking YOU to ask the helpful party guest for money! 
1.6 	 any woman that wants birth control can get it.	Any woman that wants and abortion can get one. 
2.6 	 Is it legal to grow?	Yes, it's legal to grow. 
1.8 	 pressing one does not "do" english.	Pressing one does send a tone. 
2.8 	 What's my opinion regarding the series?	What was my opinion of Firefly in the interim? 
3.6 	 We are all vessels filled with many wonders.	Chuck Close We are all vessels filled with many wonders. 
2 	 Does he have supporters?	He definently has supporters. 
2.2 	 but okay, ultimate sovereignty?	Thus, ultimate sovereignty. 
4.8 	 that is not an answer.	no, it's not an answer. 
2.2 	 The Nazis increases the longevity of a handgun permit from  to  years.	The Nazis lowered the minimum age to buy a firearm from  to . 
3.6 	 But we can't do it without help.	We can't do it without you." 
1.4 	 No healthy person needs gambling.	No healthy person needs sex. 
2 	 I said it wasn't a person, in the legal sense.	If it isn't a person, then WTF is it? 
1.8 	 Do you see Obama calling for regulation reform?	Do you see Obama calling for Cut, Cap and Balance? 
3 	 "Leprechauns don't exist" - fine.	"Elves don't exist" - fine. 
2 	 Got some Heine and coors light i started it last night xanis.	i started it last night xanis. 
4.2 	 Iran is also a signed of the NPT and the IAEA.	Gotta love the EK factoid that "Iran is also a signed of the NPT and the IAEA. 
2 	 "Gorgons don't exist" - fine.	"Satyrs don't exist" - fine. 
3 	 Best way to get money out is to get rid of lobby, all of it.	Best way to turn it on its head is to get money out. 
3.4 	 I have  years of "Neener Neener" rights Usually I get pretty decent care.	I have  years of "Neener Neener" rights they are crack ups. 
3.6 	 Dutchy Has anyone heard from Dutchy?	@NickFun, Has anyone heard from Dutchy? 
3.6 	 Commodity Expanded Value-Form, .	Elementary Commodity-Capital Value-Form . 
1.4 	 You are a Christian.	Therefore you are not a Christian. 
4 	 And the simple fact today?	I repeat: And the simple fact today? 
2 	 Morals have absolutely nothing to do with it !	and morals and honesty have everything to do with it. 
1.8 	 "Oh, you're such a good person!	You're such a bad person!" 
3.6 	 Fern I think stories like this are stupid.	- wolf I think stories like this are stupid. 
3.4 	 CYCLONE FORMATION IS NOT EXPECTED DURING THE NEXT  HOURS.	TROPICAL CYCLONE FORMATION IS NOT EXPECTED. 
1.2 	 Do you not understand what that string of words means?	Do you not understand what the word 'led' implies? 
1.2 	 There is no freedom of religion.	There is no freedom of speech. 
2.4 	 Originally Posted by SolInvictus The messahe of all the scriptures is oneness.	Originally Posted by SolInvictus Ah. 
3 	 How long after the obliteration should the kid return to school?	How long after the obliteration should it no longer bother the kid? 
3.4 	 A man and a woman are different yes.	Men and women are different yes? 
2.2 	 Double Jeopardy actually enforces a jury nullification.	As far as legality goes I can use jury nullification. 
1 	 Facilitator : Show me the smart child.	Facilitator : And why is she the dumb child? 
3.2 	 religious fiction Isn't that redundant and repetetive?	Isn't that redundant and repetetive? 
0 	 Originally Posted by anabelle What's wrong with that?	Originally Posted by Vienna To 'say' what? 
1.6 	 Cracklin' Rosie by Neil Diamond We are all vessels filled with many wonders.	Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders. 
1.6 	 Some people have complete confidence in the people running these institutions.	Other people have no confidence at all in teh people running these institutions. 
2.2 	 loose change started out as a work of fiction.	It finished as a work of fiction. 
3 	 If it wasn't a life, then it would not be able to be born.	If it wasn't alive, then it would miscarriage on it's own. 
2.4 	 GL, Terral That is absolutely amazing.	Hi Ollie: That is absolutely amazing. 
3.77777777777778 	 lets assume we have % white and % black.	Imagine a place that's % white and % black. 
2.11111111111111 	 Freedom of speech has consequences!	If freedom of speech has consequences then it is not free. 
1 	 "Fairies don't exist" - fine.	"Leprechauns don't exist" - fine. 
3.2 	 If so, state that is why they're not true.	Please, what about them are not true. 
2.8 	 -Not- talking about it 'and' -Not- doing anything.	is even worse than talking about it and not doing anything. 
1.4 	 "Being against nukes" does not mean "not wanting to use nukes".	"Being against using nukes" means "not wanting to use nukes". 
1.4 	 My niece is married to a black man.	My great niece is half black. 
1 	 The UK population is just over  million.	The Japanese population is nearly  million. 
3.4 	 I Shot the Sheriff We are all vessels filled with many wonders.	We are all vessels filled with many wonders. 
2 	 I hope this is nothing.	I hope everything is ok! 
4.2 	 The money I spent adopting Velociraptor.	Those may be my top . The money I spent adopting Velociraptor. 
4.2 	 So, you actually believe every word of what Terral wrote?	GL, Terral Hi Corn: So, you actually believe every word of what Terral wrote? 
1.6 	 What isn't how what was sold?	It's not how it was sold, gb. 
4.4 	 I know I'd hate to be him.	I'd hate to be him too. 
4.6 	 there were no weapons.	Of course there were no weapons. 
3 	 It's so stupid that it just has to be true.	It's amusing to think it even might be true. 
4.4 	 Personal responsibility much?	Again, personal responsibility. 
4.57142857142857 	 Do you notice the nonsensical things you are saying?	And to be fair, do you notice the nonsensical things you are saying? 
2.6 	 I guess I pulled it out of the census's rear end in a top hat.	Does the census have an rear end in a top hat? 
4.4 	 How is this slanted against Bush??	Where is the slant against Bush? 
4.8 	 If it wasn't bollocks it wouldn't be homeopathy.	That's simple logic If it wasn't bollocks it wouldn't be homeopathy. 
0.4 	 I've never accused him of over-milligraming, nothing.	I've never accused him of doctoring a baseball. 
3.8 	 The bailout was bigger than TARP Bloomberg news.	The bailout was bigger than TARP This title is misleading. 
2 	 My parents have told me it is bad for you.	officers have told me its bad for you. 
1 	 His position is that it is the individual's risk to assume.	His position is the way it is currently. 
0.8 	 I. ATLANTIC REQUIREMENTS .	PACIFIC REQUIREMENTS . 
4.8 	 Read More: You have never met anyone that is Pro-Abortion?	You have never met anyone that is Pro-Abortion? 
0.2 	 I have no problem with those that have money!	I have many problems with these men, way to many to state here! 
2 	 Nixon, Ford and Carter shut down the oilfields?	No has has shut down the oil fields. 
1 	 i don't want a president who 'cares'.	i don't want a president who is charasmatic. 
0 	 It doesn't have to be braindead.	I don't have a proposed model. 
3.2 	 no missile evidence.	no missile witnesses. 
2.2 	 My teachers have told me it is bad for you.	officers have told me its bad for you. 
4.2 	 My gosh, I'm the one with the pregnancy ticker.	I have the pregnancy ticker. 
1.4 	 Then he is not omnipotent.	Then he is malevolent. 
3 	 tin foil hat for the dog face, what size do u wear?	tin foil hat for the sarg, what size do u wear? 
4.2 	 Like this  year old who was shot dead in a marijuana-related crime.	Or the  year old boy shot dead with automatic weapons by marijuana dealers. 
2.6 	 If you leap up to make a hit, you're getting a penalty.	If your stick hits a guy in the face, you're getting a penalty. 
2.4 	 ALL of the electrical energy comes from the battery.	ALL of the electrical energy ultimately comes from the alternator. 
2.4 	 Do you know how many passengers testified or what they said?	How many passengers said they saw an iceberg? 
1.6 	 Imagine a place with % men and % women.	Imagine a place that's % white and % black. 
1.75 	 Scenario A assumes that the CO growth rate accelerates by .%/yr.	It assumes that methane growth rate accelerates by .%/yr. 
4.6 	 They have actually showed a cooling trend since  due to the recent decline.	get a cooling trend from  because of the recent decline. 
3 	 We are all vessels filled with many wonders.	Landon Memory from CATS We are all vessels filled with many wonders. 
4.5 	 to repeat: They are NOT as sovereign as they were before.	They are NOT as sovereign as they were before. 
4.25 	 Out of touch and completely untrustworthy, however, wouldn't.	Out of touch and untrustworthy? 
3.6 	 It is mostly just the Dutch.	In fact, it's just the Dutch. 
4.8 	 We're talking about angels and common pins again, right?	@Lustig Andrei, We're talking about angels and common pins again, right? 
2.6 	 claims about trayvon's character And when did I do that?	slanted blogs And when did I do that? 
2.6 	 % How much money does PP take in for abortion services?	How much is spent on abortions services? 
2.4 	 Why did that transaction take place.	Did the transaction take place? 
2.4 	 There is no more egg cell post-fertilization.	There is no more sperm cell. 
4 	 Lacey - welcome back!	Anyway, welcome back. 
4.4 	 More factchecking: I don't know why anyone is making a fuss over the $, bet.	I don't know why anyone is making a fuss over the $, bet. 
2.4 	 If you haven't made any claims, then just say so.	I haven't made any claims. 
2.4 	 No Thatcherite can ever call themselves a libertarian.	Ergo it offends me when Thatcherites call themselves libertarian. 
2.46666666666667 	 the problem isn't who has money.	the problem is who doesn't have money. 
2.8 	 But do you actually believe there was an iceberg in those waters?	I don't believe there was any iceberg at all anywhere near the Titanic. 
3 	 not astros or orioles bad Gameday for the orioles game is frozen for me.	Gameday for the orioles game is frozen for me. 
2.4 	 If so, alot of cops should take presciption drugs.	If so, alot of inventors, writers should take prescription drugs.. 
4 	 Tell us what the charges were.	Yes what are his charges. 
1.8 	 Those are partial psychopaths.	Was Ted Bundy a partial psychopath? 
4.2 	 those who ignore history are doomed to repeat it.	ooo strike TWO those who ignore history are doomed to repeat it. 
2.4 	 this is NOT a war deployment.	its not an official deployment. 
3.6 	 Nutrax The plural of anecdote is not data Did gentlemen need chaperones?	Nutrax The plural of anecdote is not data 
4 	 Alright just got in.	not well Alright just got in. 
3 	 h and i both read the books and thought the movie moved so quickly.	I haven't read the books, but I saw the movie today. 
2.4 	 That's not the Moloch scene, though.	This is the Moloch scene. 
4.4 	 @Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?	@edgarblythe, So Lyndon Johnson and John Kennedy were compatible? 
0.6 	 You need to make up your mind.	You need to polish up on your logic skills. 
1.4 	 The one that has  walks home afterwards and goes to sleep.	The one that has three walks home and beats his wife. 
3.8 	 - Admin DrPizza and i'd forgotten what a whiny little bed wetter you are.	and i'd forgotten what a whiny little bed wetter you are. 
4.2 	 The argument was "Albert Einstein didn't go to college".	OMG, "Einstein didn't go to college." 
2.4 	 Capital gains, top rate:  percent.	Income tax, top rate:  percent. 
1 	 Bienging is unaccptable.	Being drunk is unacceptable. 
3.4 	 He hasn't been funny in years.	He hasn't been funny since Larry Bud Melman was on the show. 
2.4 	 If the universe has an explanation of its existence, that explanation is God.	Therefore, the universe has an explanation of its existence. 
5 	 What do we get in return for doing the fighting for them?	------ ----------- What do we get in return for doing the fighting for them? 
1.2 	 It wouldn't stop joke marriages.	And I don't fight for marriage. 
2.2 	 If they were Jews, I would call them Jews.	If they were Catholics, I would call them Catholics. 
4 	 She was a great lady.	She was a nice lady. 
0.8 	 He's not wealthy because he's successful.	Why hate people because they are successful? 
1.75 	 Not as irritated as you.	You seem as irritated as Henry. 
2.5 	 It's a common sense/deductive reasoning thing.	Hilited your common sense/deductive reasoning thing. 
0.8 	 You already did that - we have a Muslim in office right now.	-CryptoLutheran No. We have a Christian in office right now. 
3.4 	 I said she has not ever had to be a part of any workforce.	Ann Romney has never had to get out and be a part of the workforce. 
3 	 DreamTech never been ejaculated on as far as I know.	It has never been ejaculated on as far as I know. 
1.2 	 I didn't say we had gotten soft since / Rand.	I said YOU had gotten soft. 
3.8 	 We all believe that we are getting what we expect.	Most times, % of the time, we are getting what we expect. 
4.4 	 Despicable Ben, Stop trying to find excuses for the man.	Ben, Stop trying to find excuses for the man. 
3.6 	 Unless it's different in different countries?	So, short form, yes, it probably is different in different countries. 
2.2 	 The new study does not support your claim.	The physical evidence does not support your claim. 
4.6 	 He said at EVERY level.	But he said EVERY level. 
2.2 	 morals do not exist, so technically nothing can be morally wrong.	I ask again if God does not exist can anything be morally wrong? 
4 	 I thought that was mostly just the Dutch.	It is mostly just the Dutch. 
3.2 	 Toyland by Johnny Mathis We are all vessels filled with many wonders.	Eye of the Tiger We are all vessels filled with many wonders. 
3.8 	 Let's let this play out in court.	Nothing is stopping this thing from playing out in court. 
1.8 	 Being in a gang isnt a crime.	Commiting a crime in a gang is a crime. 
4.2 	 I'd offer Iran a deal.	Chuck I'd offer Iran a deal. 
1.2 	 Yes, they are both different.	Opinions are different. 
1.1 	 It's not imposing morals.	It's imposing a law. 
3.8 	 Has Annie ever used her sexuality like that?	One word: Zombies Has Annie ever used her sexuality like that? 
2.4 	 PURE COMMUNISM: You have two cows.	LIBERTARIAN/ANARCHO-CAPITALISM: You have two cows. 
3.4 	 You should put scientists on a pedestal.	Why do people like you put scientist on a pedestal? 
3.6 	 What are they trying to hide?	I then asked: What are they trying to hide? 
3 	 That would make you partially responsible for their death.	That would make you a sort of accessory, I think. 
0 	 "Would you like to pay for others health care?"	"Would you like to wear your seatbelt?" 
4.4 	 They are NOT as sovereign as they were before.	to repeat: They are NOT as sovereign as they were before. 
2 	 I don't see Obama as the lesser of two evils.	I don't see him as evil at all. 
3.2 	 Or this one by Jim Croce We are all vessels filled with many wonders.	We are all vessels filled with many wonders. 
3.4 	 The point is an unarmed child was murdered.	The point is an unarmed child was murdered who was black. 
0.9 	 Zimmerman replied, "What are you doing here?"	Martin said, "Why are you following me?" 
1.6 	 Irreligion that does that I have a problem.	Religion that doesn't do that I don't have a problem with. 
3.2 	 If I'm angry, it will show up in one of those scans..	If I'm hyper active, it will show up in one of those scans.. 
1.4 	 If you want to buy $ billion in XYZ Inc. common stock, who cares?	If you want to buy a house or a SUV, again, who cares? 
1.53333333333333 	  billion . Everyone in the world at Mexico's current prosperity level.	Everyone in the world at the current "prosperity" level of Northwest Africa. 
3.1 	 If you answer yes to  and no to  you are probably straight.	If you answer no to  but yes to  then you are probably straight. 
4.2 	 Sometimes I fantasize about having power.	Sometimes I, too, fantasise about bending people before my demented will. 
2.8 	 My parents have told me it is bad for you.	My Sheriff has told me its bad for you. 
3.6 	 Atlas Shrugged It's also a stellar performer in terms of blithering idiocy.	It's also a stellar performer in terms of blithering idiocy. 
2.4 	 How would Martin not know that that was not the case?	How would Martin or anyone else know his intentions based on his actions? 
2.4 	 Regulation get the government into everything.	"Get the government into everything?" 
2.5 	 It's a common sense/deductive reasoning thing.	Hilited your common sense/deductive reasoning thing. 
2.8 	 Yes, I've assumed that all packaging would be recyclable in my argument.	I've assumed this as well in my argument. 
3.6 	 Jury nullification does not mean that a law is unconstuitutional.	Jury nullification means a law isn't Constitutional? 
2.2 	 It's just a bunch of cells.	I'm "a bunch of cells." 
1.6 	 Mann's work was all about math.	Mann's work and the HS was all about Tree rings. 
4 	 I'm so sorry to hear this Kelly.	I'm so sorry, Kelly. 
3 	 I don't like flavored beers.	I don't like many flavored drinks. 
1.6 	 I hope everything is ok!	I hope your LO is ok. 
1.6 	 any woman that wants birth control can get it.	Any woman that wants and abortion can get one. 
4.6 	 S As you wish: Do you see Hitler killing Jews?	Do you see Hitler killing Jews? 
4 	 And I'm your friend Mitt.	Your good friend Mitt. 
1.6 	 It means its AN option.	Doesnt mean its a BAD option. 
5 	 I think you need to reread what I wrote.	You need to reread what I wrote. 
3.77777777777778 	 lets assume we have % white and % black.	Imagine a place that's % white and % black. 
1.8 	 Mom busted in and said, "What's that noise?"	My kids busted in and said 'whats that Dad?' 
3.6 	 My best, Kutte My ex-fiance wouldn't use the VA or Navy doctor's.	Jay My ex-fiance wouldn't use the VA or Navy doctor's. 
2.8 	 Holder filed a three-page letter.	The Judges orders a three-page letter to be filed. 
2.2 	 @Lustig Andrei, Lustig, agreed.	@Lustig Andrei, Thank you, Lustig. 
4.8 	 This eclipses the old record of  set in .	This breaks the daily record of  set in . 
